id_establecimiento,id_localidad,descripcion,nro_escuela,latitud,longitud,domicilio,telefono,nombre_directivo,ciudadanos_habilitados
204.10.0.0.1,204.10.0.0,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,,,,,,0
204.11.3.0.1,204.11.3.0,1-COLEGIO MEDALLA MILAGROSA ,1,,,,,,0
204.12.0.0.1,204.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
204.13.0.0.1,204.13.0.0,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,,,,,,0
204.14.0.0.1,204.14.0.0,1-COL. NAC. DE S.D.G.,1,,,,,,0
204.15.0.0.1,204.15.0.0,1-REGISTRO ELECTORAL DE VILLA HAYES,1,,,,,,0
205.0.0.0.1,205.0.0.0,1-PC PARTIDARIO PPH,1,,,,,,0
205.3.0.0.1,205.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
205.3.27.0.1,205.3.27.0,1-REGISTRO ELECTORAL DE PIRIBEBUY,1,,,,,,0
205.6.15.0.1,205.6.15.0,1-REGISTRO ELECTORAL DE TAVAI,1,,,,,,0
205.7.0.0.1,205.7.0.0,1-PC PARTIDARIO PPH,1,,,,,,0
205.9.1.0.1,205.9.1.0,1-TINGLADO ASOCIACION DE PROFESORES,1,,,,,,0
205.10.0.0.1,205.10.0.0,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,,,,,,0
205.11.1.0.1,205.11.1.0,1-PC PARTIDARIO PPH,1,,,,,,0
205.11.13.0.1,205.11.13.0,1-COLEGIO CHACO PARAGUAYO,1,,,,,,0
205.11.17.0.1,205.11.17.0,1-CLUB DEPORTIVO BALDERRAMA,1,,,,,,0
205.15.0.0.1,205.15.0.0,1-ESC. DR. RAUL PEÑA,1,,,,,,0
205.15.1.0.1,205.15.1.0,1-REGISTRO ELECTORAL DE BENJAMIN ACEVAL,1,,,,,,0
206.4.0.0.1,206.4.0.0,1-CENTRO REGIONAL DE EDUCACION CICLO 2,1,,,,,,0
206.11.35.0.1,206.11.35.0,1-REGISTRO ELECTORAL DE YPANE,1,,,,,,0
207.0.0.0.1,207.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
207.1.11.0.1,207.1.11.0,1-ESC.BAS. N° 4341 SAN ANDRES ,1,,,,,,0
207.2.9.0.1,207.2.9.0,1-TINGLADO MUNICIPAL,1,,,,,,0
207.3.35.0.1,207.3.35.0,1-TINGLADO MUNICIPAL,1,,,,,,0
207.4.30.0.1,207.4.30.0,1-PC- UNACE,1,,,,,,0
207.5.3.0.1,207.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
207.6.17.0.1,207.6.17.0,1-REGISTRO ELECTORAL DE YUTY,1,,,,,,0
207.7.0.0.1,207.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
207.8.3.0.1,207.8.3.0,1-ESC. BAS N°392 SANTO ANGEL  ,1,,,,,,0
207.9.5.0.1,207.9.5.0,1-ESC MODELO GRAL DIAZ,1,,,,,,0
207.10.25.0.1,207.10.25.0,1-COL.NACIONAL PARAGUAY BRASIL,1,,,,,,0
207.11.27.0.1,207.11.27.0,1-PC- UNACE,1,,,,,,0
207.12.0.0.1,207.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
207.13.0.0.1,207.13.0.0,1-ESC. BASICA Nº 458 MARISCAL FRANCISCO SOLANO LOPEZ,1,,,,,,0
207.14.3.0.1,207.14.3.0,1-PC- UNACE,1,,,,,,0
207.15.5.0.1,207.15.5.0,1-REGISTRO ELECTORAL DE NANAWA,1,,,,,,0
207.16.0.0.1,207.16.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
207.17.0.0.1,207.17.0.0,1-COL TEC NACIONAL (ESC. AMISTAD),1,,,,,,0
208.0.0.0.1,208.0.0.0,1-PARTIDO COMUNISTA PARAGUAYO,1,,,,,,0
208.2.0.0.1,208.2.0.0,1-ESCUELA N° 31 DON BRAULIO ZELADA ,1,,,,,,0
208.5.0.0.1,208.5.0.0,1-ESC. ALICIO PERALTA,1,,,,,,0
208.10.0.0.1,208.10.0.0,1-COL. ATANACIO RIERA AREA 1,1,,,,,,0
208.11.9.0.1,208.11.9.0,1-REGISTRO ELECTORAL  DE ITAUGUA,1,,,,,,0
210.0.0.0.1,210.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
210.1.0.0.1,210.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
210.2.13.0.1,210.2.13.0,1-REGISTRO ELECTORAL DE GUAJAYVI,1,,,,,,0
210.3.0.0.1,210.3.0.0,1-REGISTRO ELECTORAL DE CAACUPE,1,,,,,,0
210.4.0.0.1,210.4.0.0,1-REGISTRO ELECTORAL DE VILLARRICA,1,,,,,,0
210.5.3.0.1,210.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
210.6.0.0.1,210.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
210.9.1.0.1,210.9.1.0,1-TINGLADO ASOCIACION DE PROFESORES,1,,,,,,0
210.11.1.0.1,210.11.1.0,1-COLEGIO POLITECNICO COOPERATIVA CAPIATA ,1,,,,,,0
210.14.13.0.1,210.14.13.0,1-ESC. PADRE VICENTE JOSE ORUE,1,,,,,,0
210.15.0.0.1,210.15.0.0,1-REGISTRO ELECTORAL DE VILLA HAYES,1,,,,,,0
211.0.0.0.1,211.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
211.1.0.0.1,211.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
211.2.13.0.1,211.2.13.0,1-ESC. BASICA N° 4804 SAN FELIPE B° SAN PEDRO ,1,,,,,,0
211.2.21.0.1,211.2.21.0,1-COLEGIO NACIONAL SEBASTIAN YEGROS ,1,,,,,,0
211.3.0.0.1,211.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
211.4.0.0.1,211.4.0.0,1-CENTRO REGIONAL DE EDUCACION CICLO 2,1,,,,,,0
211.5.0.0.1,211.5.0.0,1-ESC. ALICIO PERALTA,1,,,,,,0
211.5.3.0.1,211.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
211.6.13.0.1,211.6.13.0,1-COLEGIO JULIA ACOSTA DE GONZALEZ,1,,,,,,0
211.7.0.0.1,211.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
211.7.49.0.1,211.7.49.0,1-ESCUELA N°66 ENRIQUE SOLANO LOPEZ,1,,,,,,0
211.8.0.0.1,211.8.0.0,1-COL. PEDRO P. PEÑA NRO. 237,1,,,,,,0
211.9.5.0.1,211.9.5.0,1-ESC MODELO GRAL DIAZ,1,,,,,,0
211.10.0.0.1,211.10.0.0,1-COL. ATANACIO RIERA AREA 1,1,,,,,,0
211.11.3.0.1,211.11.3.0,1-COLEGIO MEDALLA MILAGROSA ,1,,,,,,0
211.12.0.0.1,211.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
211.13.0.0.1,211.13.0.0,1-ESC. BASICA Nº 458 MARISCAL FRANCISCO SOLANO LOPEZ,1,,,,,,0
211.14.0.0.1,211.14.0.0,1-COL. NAC. DE S.D.G.,1,,,,,,0
211.15.0.0.1,211.15.0.0,1-ESC. DR. RAUL PEÑA,1,,,,,,0
211.16.0.0.1,211.16.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
211.17.1.0.1,211.17.1.0,1-REGISTRO ELECTORAL DE LOMA PLATA,1,,,,,,0
211.17.3.0.1,211.17.3.0,1-TINGLADO DEL CENTRO SOCIAL,1,,,,,,0
212.0.0.0.1,212.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
212.1.0.0.1,212.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
212.1.11.0.1,212.1.11.0,1-ESC.BAS. N° 4341 SAN ANDRES ,1,,,,,,0
212.3.0.0.1,212.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
212.4.0.0.1,212.4.0.0,1-MUNICIPALIDAD DE VILLARRICA ,1,,,,,,0
212.5.25.0.1,212.5.25.0,1-REGISTRO ELECTORAL DE REPATRIACION,1,,,,,,0
212.6.0.0.1,212.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
212.7.0.0.1,212.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
212.8.3.0.1,212.8.3.0,1-ESC. BAS N°392 SANTO ANGEL  ,1,,,,,,0
212.9.11.0.1,212.9.11.0,1-REGISTRO ELECTORAL LA COLMENA,1,,,,,,0
212.10.0.0.1,212.10.0.0,1-COL. ATANACIO RIERA AREA 1,1,,,,,,0
212.11.17.0.1,212.11.17.0,1-CLUB DEPORTIVO BALDERRAMA,1,,,,,,0
212.12.0.0.1,212.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
212.13.0.0.1,212.13.0.0,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,,,,,,0
212.14.13.0.1,212.14.13.0,1-ESC. PADRE VICENTE JOSE ORUE,1,,,,,,0
212.16.0.0.1,212.16.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
212.17.3.0.1,212.17.3.0,1-TINGLADO DEL CENTRO SOCIAL,1,,,,,,0
213.0.0.0.1,213.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
213.1.11.0.1,213.1.11.0,1-ESC.BAS. N° 4341 SAN ANDRES ,1,,,,,,0
213.2.24.0.1,213.2.24.0,1-ESCUELA BASICA Nº 4995 SANTO DOMINGO DE GUZMAN DE SANTA ROSA,1,,,,,,0
213.3.0.0.1,213.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
213.4.13.0.1,213.4.13.0,1-MUNICIPALIDAD DE LA CIUDAD,1,,,,,,0
213.5.3.0.1,213.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
213.6.13.0.1,213.6.13.0,1-COLEGIO JULIA ACOSTA DE GONZALEZ,1,,,,,,0
213.7.0.0.1,213.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
213.9.0.0.1,213.9.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
213.10.0.0.1,213.10.0.0,1-COL. ATANACIO RIERA AREA 1,1,,,,,,0
213.11.27.0.1,213.11.27.0,1-ESC. BAS. 23 ESPAÑA,1,,,,,,0
213.12.0.0.1,213.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
213.13.0.0.1,213.13.0.0,1-ESC. BASICA Nº 458 MARISCAL FRANCISCO SOLANO LOPEZ,1,,,,,,0
213.14.0.0.1,213.14.0.0,1-COL. NAC. DE S.D.G.,1,,,,,,0
213.15.0.0.1,213.15.0.0,1-ESC. DR. RAUL PEÑA,1,,,,,,0
213.16.3.0.1,213.16.3.0,1-REGISTRO ELECTORAL DE BAHIA NEGRA,1,,,,,,0
213.17.3.0.1,213.17.3.0,1-TINGLADO DEL CENTRO SOCIAL,1,,,,,,0
215.0.0.0.1,215.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
215.7.0.0.1,215.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
215.10.0.0.1,215.10.0.0,1-COL. ATANACIO RIERA AREA 1,1,,,,,,0
215.11.27.0.1,215.11.27.0,1-ESC. BAS. 23 ESPAÑA,1,,,,,,0
215.14.16.0.1,215.14.16.0,1-ESC.BAS.N°2465 MBURUCUYA ,1,,,,,,0
215.17.3.0.1,215.17.3.0,1-TINGLADO DEL CENTRO SOCIAL,1,,,,,,0
216.0.0.0.1,216.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
216.2.5.0.1,216.2.5.0,1-ESCUELA BAS. Nº 3050 4 DE MAYO,1,,,,,,0
216.2.11.0.1,216.2.11.0,1-REGISTRO ELECTORAL GRAL. FRANCISCO RESQUIN,1,,,,,,0
216.4.0.0.1,216.4.0.0,1-MUNICIPALIDAD DE VILLARRICA ,1,,,,,,0
216.5.13.0.1,216.5.13.0,1-REGISTRO JOSE DOMINGO OCAMPO,1,,,,,,0
216.6.17.0.1,216.6.17.0,1-REGISTRO ELECTORAL DE YUTY,1,,,,,,0
216.7.0.0.1,216.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
216.7.17.0.1,216.7.17.0,1-TINGLADO MUNICIPAL DE EDELIRA,1,,,,,,0
216.9.9.0.1,216.9.9.0,1-REGISTRO ELECTORAL DE GRAL. BERNARDINO CABALLERO,1,,,,,,0
216.9.21.0.1,216.9.21.0,1-REGISTRO ELECTORAL DE SAN ROQUE GONZALEZ,1,,,,,,0
216.10.0.0.1,216.10.0.0,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,,,,,,0
216.11.27.0.1,216.11.27.0,1-ESC. BAS. 23 ESPAÑA,1,,,,,,0
216.12.3.0.1,216.12.3.0,1-REGISTRO ELECTORAL DE CERRITO,1,,,,,,0
216.13.0.0.1,216.13.0.0,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,,,,,,0
216.14.16.0.1,216.14.16.0,1-ESC.BAS.N°2465 MBURUCUYA ,1,,,,,,0
216.15.0.0.1,216.15.0.0,1-REGISTRO ELECTORAL DE VILLA HAYES,1,,,,,,0
217.0.0.0.1,217.0.0.0,1-LOCAL PARTIDARIO PS,1,,,,,,0
217.2.13.0.1,217.2.13.0,1-ESC. Nº 4801 VIRGEN DE LOURDES,1,,,,,,0
217.4.0.0.1,217.4.0.0,1-MUNICIPALIDAD DE VILLARRICA ,1,,,,,,0
217.5.3.0.1,217.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
217.6.0.0.1,217.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
217.7.0.0.1,217.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
217.10.0.0.1,217.10.0.0,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,,,,,,0
217.11.23.0.1,217.11.23.0,1-ESCUELA PAZ DEL CHACO ,1,,,,,,0
217.13.0.0.1,217.13.0.0,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,,,,,,0
217.15.0.0.1,217.15.0.0,1-COL. NAC. JORGE GALLOSO,1,,,,,,0
217.16.1.0.1,217.16.1.0,1-REGISTRO ELECTORAL DE PEURTO CASADO,1,,,,,,0
217.17.0.0.1,217.17.0.0,1-COL TEC NACIONAL (ESC. AMISTAD),1,,,,,,0
218.0.0.0.1,218.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
218.1.0.0.1,218.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
218.2.16.0.1,218.2.16.0,1-ESCUELA SAN JORGE,1,,,,,,0
218.4.0.0.1,218.4.0.0,1-CENTRO REGIONAL DE EDUCACION CICLO 2,1,,,,,,0
218.5.3.0.1,218.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
218.6.0.0.1,218.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
218.7.0.0.1,218.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
218.8.0.0.1,218.8.0.0,1-REGISTRO ELECTORAL DE SAN JUAN BAUTISTA MISIONES,1,,,,,,0
218.9.0.0.1,218.9.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
218.10.0.0.1,218.10.0.0,1-COL. ATANACIO RIERA AREA 1,1,,,,,,0
218.11.23.0.1,218.11.23.0,1-REGISTRO ELECTORAL DE ÑEMBY,1,,,,,,0
218.12.0.0.1,218.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
218.14.16.0.1,218.14.16.0,1-ESC.BAS.N°2465 MBURUCUYA ,1,,,,,,0
218.15.9.0.1,218.15.9.0,1-REGISTRO ELECTORAL DE TTE. IRALA FERNANDEZ,1,,,,,,0
218.17.3.0.1,218.17.3.0,1-TINGLADO DEL CENTRO SOCIAL,1,,,,,,0
219.0.0.0.1,219.0.0.0,1-LOCAL PROPIO DEL PMAS,1,,,,,,0
219.1.0.0.1,219.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
219.2.0.0.1,219.2.0.0,1-ESCUELA N° 31 DON BRAULIO ZELADA ,1,,,,,,0
219.3.0.0.1,219.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
219.5.0.0.1,219.5.0.0,1-ESC. ALICIO PERALTA,1,,,,,,0
219.7.0.0.1,219.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
219.8.0.0.1,219.8.0.0,1-REGISTRO ELECTORAL DE SAN JUAN BAUTISTA MISIONES,1,,,,,,0
219.9.0.0.1,219.9.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
219.10.0.0.1,219.10.0.0,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,,,,,,0
219.10.27.0.1,219.10.27.0,1-TINGLADO MUNICIPAL,1,,,,,,0
219.15.0.0.1,219.15.0.0,1-REGISTRO ELECTORAL DE VILLA HAYES,1,,,,,,0
220.0.0.0.1,220.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
220.1.0.0.1,220.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
220.2.21.0.1,220.2.21.0,1-COLEGIO NACIONAL SEBASTIAN YEGROS ,1,,,,,,0
220.3.0.0.1,220.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
220.4.0.0.1,220.4.0.0,1-MUNICIPALIDAD DE VILLARRICA ,1,,,,,,0
220.5.0.0.1,220.5.0.0,1-ESC. ALICIO PERALTA,1,,,,,,0
220.6.0.0.1,220.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
220.7.0.0.1,220.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
220.8.0.0.1,220.8.0.0,1-REGISTRO ELECTORAL DE SAN JUAN BAUTISTA MISIONES,1,,,,,,0
220.9.0.0.1,220.9.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
220.10.0.0.1,220.10.0.0,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,,,,,,0
220.11.27.0.1,220.11.27.0,1-REGISTRO ELECTORAL DE SAN LORENZO,1,,,,,,0
220.12.0.0.1,220.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
220.13.0.0.1,220.13.0.0,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,,,,,,0
220.14.0.0.1,220.14.0.0,1-COL. NAC. DE S.D.G.,1,,,,,,0
220.15.0.0.1,220.15.0.0,1-COL. NAC. JORGE GALLOSO,1,,,,,,0
220.16.0.0.1,220.16.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
220.17.0.0.1,220.17.0.0,1-COL TEC NACIONAL (ESC. AMISTAD),1,,,,,,0
221.0.0.0.1,221.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
221.1.3.0.1,221.1.3.0,1-COLEGIO NACIONAL JORGE SEBASTIAN MIRANDA,1,,,,,,0
221.1.11.0.1,221.1.11.0,1-REGISTRO ELECTORAL DE ARROYITO,1,,,,,,0
221.2.9.0.1,221.2.9.0,1-TINGLADO MUNICIPAL,1,,,,,,0
221.2.21.0.1,221.2.21.0,1-COLEGIO NACIONAL SEBASTIAN YEGROS ,1,,,,,,0
221.2.22.0.1,221.2.22.0,1-REGISTRO ELECTORAL DE SAN VICENTE PANCHOLO,1,,,,,,0
221.2.24.0.1,221.2.24.0,1-ESCUELA BASICA Nº 4995 SANTO DOMINGO DE GUZMAN DE SANTA ROSA,1,,,,,,0
221.4.13.0.1,221.4.13.0,1-MUNICIPALIDAD DE LA CIUDAD,1,,,,,,0
221.4.19.0.1,221.4.19.0,1-TINGLADO MUNICIPAL,1,,,,,,0
221.5.3.0.1,221.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
221.5.25.0.1,221.5.25.0,1-REGISTRO ELECTORAL DE REPATRIACION,1,,,,,,0
221.5.27.0.1,221.5.27.0,1-REGISTRO ELECTORAL DE SAN JOAQUIN,1,,,,,,0
221.6.13.0.1,221.6.13.0,1-COLEGIO JULIA ACOSTA DE GONZALEZ,1,,,,,,0
221.7.1.0.1,221.7.1.0,1-COLEGIO SAGRADO CORAZON,1,,,,,,0
221.7.23.0.1,221.7.23.0,1-REGISTRO ELECTORAL DE GENERAL DELGADO,1,,,,,,0
221.8.7.0.1,221.8.7.0,1-REGISTRO ELECTORAL DE SAN PATRICIO,1,,,,,,0
221.8.11.0.1,221.8.11.0,1-REGISTRO ELECTORAL DE SANTA ROSA MISIONES,1,,,,,,0
221.9.5.0.1,221.9.5.0,1-ESC MODELO GRAL DIAZ,1,,,,,,0
221.9.23.0.1,221.9.23.0,1-REGISTRO ELECTORAL DE SAPUCAI,1,,,,,,0
221.11.7.0.1,221.11.7.0,1-REGISTRO ELECTORAL DE ITA,1,,,,,,0
221.11.9.0.1,221.11.9.0,1-REGISTRO ELECTORAL  DE ITAUGUA,1,,,,,,0
221.14.12.0.1,221.14.12.0,1-REGISTRO ELECTORAL DE MARACANA,1,,,,,,0
221.14.13.0.1,221.14.13.0,1-ESC. PADRE VICENTE JOSE ORUE,1,,,,,,0
222.7.0.0.1,222.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
222.11.27.0.1,222.11.27.0,1-ESC. BAS. 23 ESPAÑA,1,,,,,,0
222.15.0.0.1,222.15.0.0,1-ESC. DR. RAUL PEÑA,1,,,,,,0
223.0.0.0.1,223.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
223.1.0.0.1,223.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
223.2.0.0.1,223.2.0.0,1-ESCUELA N° 31 DON BRAULIO ZELADA ,1,,,,,,0
223.2.16.0.1,223.2.16.0,1-ESCUELA SAN JORGE,1,,,,,,0
223.7.0.0.1,223.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
223.7.17.0.1,223.7.17.0,1-TINGLADO MUNICIPAL DE EDELIRA,1,,,,,,0
223.11.0.0.1,223.11.0.0,1-REGISTRO ELECTORAL DE AREGUA,1,,,,,,0
223.11.13.0.1,223.11.13.0,1-COLEGIO CHACO PARAGUAYO,1,,,,,,0
224.0.0.0.1,224.0.0.0,1-LOCAL PARTIDARIO,1,,,,,,0
224.1.3.0.1,224.1.3.0,1-COLEGIO NACIONAL JORGE SEBASTIAN MIRANDA,1,,,,,,0
224.2.16.0.1,224.2.16.0,1-ESCUELA SAN JORGE,1,,,,,,0
224.3.0.0.1,224.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
224.4.17.0.1,224.4.17.0,1-REGISTRO ELECTORAL DE ITURBE,1,,,,,,0
224.5.3.0.1,224.5.3.0,1-INSTITUTO DE FORMACION DOCENTE,1,,,,,,0
224.6.0.0.1,224.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
224.7.0.0.1,224.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
224.8.1.0.1,224.8.1.0,1-REGISTRO ELECTORAL DE AYOLAS,1,,,,,,0
224.9.17.0.1,224.9.17.0,1-TINGLADO MUNICIPAL,1,,,,,,0
224.11.27.0.1,224.11.27.0,1-ESC. BAS. 23 ESPAÑA,1,,,,,,0
224.12.0.0.1,224.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
224.13.0.0.1,224.13.0.0,1-ESC. BASICA Nº 458 MARISCAL FRANCISCO SOLANO LOPEZ,1,,,,,,0
224.14.11.0.1,224.14.11.0,1-REGISTRO ELECTORAL DE NUEVA ESPERANZA,1,,,,,,0
225.0.0.0.1,225.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
